Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,16,354,252,183,34,91,0,11,83,0,0
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs,16,354,252,183,34,91,0,11,83,0,0
